filename	task_type
fmap/sub-02_ses-02_run-01_magnitude1.nii	n/a
fmap/sub-02_ses-02_run-01_magnitude2.nii	n/a
fmap/sub-02_ses-02_run-01_phasediff.nii	n/a
func/sub-02_ses-02_task-face_run-01_bold.nii	face
func/sub-02_ses-02_task-face_run-02_bold.nii	face
func/sub-02_ses-02_task-face_run-03_bold.nii	face
fmap/sub-02_ses-02_run-02_magnitude1.nii	n/a
fmap/sub-02_ses-02_run-02_magnitude2.nii	n/a
fmap/sub-02_ses-02_run-02_phasediff.nii	n/a
func/sub-02_ses-02_task-face_run-04_bold.nii	face
func/sub-02_ses-02_task-face_run-05_bold.nii	face
func/sub-02_ses-02_task-face_run-06_bold.nii	face
fmap/sub-02_ses-02_run-03_magnitude1.nii	n/a
fmap/sub-02_ses-02_run-03_magnitude2.nii	n/a
fmap/sub-02_ses-02_run-03_phasediff.nii	n/a
